name,asset_type,neighborhood
SWEETBRIAR PLACE,affordable_housing,Duquesne Heights
SUSQUEHANNA HOMES,affordable_housing,Homewood South
STO-ROX PLAZA,affordable_housing,Elliott
American Serbian Club,community_nonprofit_orgs,South Side Flats
Community Kitchen Pittsburgh (Hazelwood),community_nonprofit_orgs,Hazelwood
STEELWORKERS TOWER,affordable_housing,Perry South
ST JUSTIN PLAZA,affordable_housing,Mount Washington
MARIAN PLAZA,affordable_housing,East Hills
"Riverview Church, on Pittsburgh's North Side",community_nonprofit_orgs,Perry North
Armstrong Playground (Play Area 5 to 12),parks_and_facilities,South Side Flats
Fineview Playground (Whirl),parks_and_facilities,Fineview
MANCHESTER PHASE III,affordable_housing,Manchester
MANCHESTER HOPE,affordable_housing,Manchester
Frick Beechwood Playground (Swing 2 Bays),parks_and_facilities,Squirrel Hill South
Grandview Playground (Swing 2 Bays),parks_and_facilities,Allentown
Lincoln Place Playground (Play Area 2 to 5),parks_and_facilities,Lincoln Place
Marmaduke Playground (Play Area 2 to 5),parks_and_facilities,Brighton Heights
Marmaduke Playground (Spring Toy - Turtle),parks_and_facilities,Brighton Heights
Mutual Playground (Play Area 5 to 12),parks_and_facilities,Sheraden
Robert E. WIlliams Playground (Spring Toy - Fire Truck),parks_and_facilities,Upper Hill
Schenley Anderson Playground (Slide),parks_and_facilities,Squirrel Hill South
Sheraden Upper Playground (Play Area 2 to 5),parks_and_facilities,Sheraden
Sue Murray Playground (Spring Toy - Seat),parks_and_facilities,Allegheny Center
Westinghouse Playground (Swing 2 Bays),parks_and_facilities,Point Breeze North
Brittini R Wright LLC DBA Wright Childcare Solutions,schools,Larimer
I Have A Dream Foundation,schools,East Liberty
Kingdom Life Fellowhsip Pittsburgh DBA Haven House,schools,Knoxville
Pennsylvania Women Work,schools,Central Business District
Ruth Jean Hamilton Child Develoment Center,schools,Lincoln-Lemington-Belmar
LAURENTIAN HALL,affordable_housing,Garfield
LARIMER PHASE 1,affordable_housing,Larimer
LARIMER EAST LIBERTY PH 1,affordable_housing,Larimer
LAMBETH APTS,affordable_housing,Central Lawrenceville
KELLY-HAMILTON,affordable_housing,Homewood South
Holy Ghost,faith-based_facilities,Marshall-Shadeland
Corpus Christi Church /of Saint Charles Lwanga Parish (Closed until further notice),faith-based_facilities,Lincoln-Lemington-Belmar
Beechview United Presbyterian Church,faith-based_facilities,Beechview
Allegheny Elks Lodge #339,community_nonprofit_orgs,East Allegheny
K LEROY IRVIS TOWER,affordable_housing,Crawford-Roberts
JUST INN TRANSITION,affordable_housing,Mount Washington
SAINT LAWRENCE O'TOOLE GARFIELD,faith-based_facilities,Garfield
SAINT JOSEPH AND SAINT JOHN VIANNEY,faith-based_facilities,Mt. Oliver
SAINT JOHN VIANNEY PARISH,faith-based_facilities,Allentown
SAINT JOHN THE BAPTIST UKRAINIAN CATHOLIC CHURCH,faith-based_facilities,South Side Flats
SAINT JOHN THE BAPTIST BYZANTINE CATHOLIC CHURCH,faith-based_facilities,South Side Flats
SAINT JOHN CHRYSOSTOM CHURCH,faith-based_facilities,Greenfield
SAINT JAMES AFRICAN METHODIST EPISCOPAL CHURCH,faith-based_facilities,Larimer
SAINT HENRY AND SAINT JOHN VIANNEY,faith-based_facilities,Arlington
SAINT GEORGE UKRAINIAN CHURCH,faith-based_facilities,Brighton Heights
SAINT CYRIL OF ALEXANDRIA CHURCH,faith-based_facilities,Brighton Heights
SAINT CHARLES LWANGA CHURCH,faith-based_facilities,Homewood South
SAINT CANICE AND SAINT JOHN VIANNEY,faith-based_facilities,Knoxville
SAINT BASIL CATHOLIC CHURCH,faith-based_facilities,Carrick
New Life Church Of God,faith-based_facilities,Greenfield
JULIA JACKSON aka Apple Avenue,affordable_housing,Homewood North
JOHN PAUL PLAZA,affordable_housing,Polish Hill
SHAARE TORAH CONGREGATION,faith-based_facilities,Squirrel Hill South
SAINT STANISLAUS KOSTKA,faith-based_facilities,Strip District
SAINT ROSALIA PARISH (GREENFIELD),faith-based_facilities,Greenfield
SAINT REGIS PARISH,faith-based_facilities,South Oakland
SAINT PIUS X ROMAN CATHOLIC CHURCH,faith-based_facilities,Brookline
SAINT PIUS X BYZANTINE CATHOLIC CHURCH,faith-based_facilities,Carrick
SAINT PETER PARISH,faith-based_facilities,Allegheny Center
SAINT PAUL CATHEDRAL,faith-based_facilities,North Oakland
SAINT PAUL AFRICAN METHODIST EPISCOPAL CHURCH,faith-based_facilities,Knoxville
SAINT PATRICK CHURCH,faith-based_facilities,Strip District
SAINT PAMPHILUS CHURCH,faith-based_facilities,Beechview
SAINT NORBERT CHURCH,faith-based_facilities,Overbrook
SAINT MATTHEW PARISH (LAWRENCEVILLE),faith-based_facilities,Upper Lawrenceville
SAINT MARY OF THE MOUNT CHURCH,faith-based_facilities,Mount Washington
SAINT MARY OF MERCY CHURCH,faith-based_facilities,Central Business District
SAINT MARY ASSUMPTION,faith-based_facilities,Stanton Heights
SAINT MARTINS CHURCH,faith-based_facilities,Crafton Heights
Saint Boniface Church /of Holy Wisdom Parish,faith-based_facilities,Spring Hill-City View
Saint Anthony Chapel /of Most Holy Name of Jesus Parish,faith-based_facilities,Troy Hill
Sacred Heart Parish,faith-based_facilities,Shadyside
Sacred Heart (Shadyside),faith-based_facilities,Shadyside
STILLPOINT ZEN COMMUNITY OF PITTSBURGH,faith-based_facilities,Central Lawrenceville
SOUTH HILLS BAPTIST CHURCH,faith-based_facilities,Beltzhoover
SIXTH MOUNT ZION BAPTIST CHURCH,faith-based_facilities,Larimer
SHILOH COMMUNITY MISSIONARY BAPTIST CHURCH,faith-based_facilities,Homewood West
HOMEWOOD SENIOR APARTMENTS aka Homewood Station,affordable_housing,Homewood South
Saint John Chrysostom Byzantine Catholic Church,faith-based_facilities,Greenfield
HOMEWOOD HOUSE,affordable_housing,Homewood South
Saint Stephen,faith-based_facilities,Hazelwood
Saint Rosalia,faith-based_facilities,Greenfield
Saint Regis ,faith-based_facilities,South Oakland
Saint Raphael,faith-based_facilities,Morningside
Saint Pius X,faith-based_facilities,Brookline
Saint Peter (North Side),faith-based_facilities,Allegheny Center
Saint Pamphilus,faith-based_facilities,Beechview
Sixth Mt Zion Baptist Church,faith-based_facilities,Larimer
Spencer United Methodist Church,faith-based_facilities,Carrick
South Side Presbyterian Church,faith-based_facilities,South Side Flats
South Hills Baptist Church,faith-based_facilities,Beltzhoover
South Avenue United Methodist Church,faith-based_facilities,Shadyside
Smithfield United Church of Christ,faith-based_facilities,Central Business District
Sixth Presbyterian Church,faith-based_facilities,Squirrel Hill North
Sixth Mount Zion Baptist Church,faith-based_facilities,Larimer
Sisters of Mercy of the Americas,faith-based_facilities,West Oakland
Shiloh Comm Missionary Baptist,faith-based_facilities,Homewood West
Sheraden United Methodist,faith-based_facilities,Sheraden
Shepherd's Heart Fellowship,faith-based_facilities,Bluff
Shadyside Presbyterian Church,faith-based_facilities,Shadyside
Seeds Of Hope Anglican Church,faith-based_facilities,Bloomfield
St Andrew Lutheran Church,faith-based_facilities,Shadyside
St John The Baptist Orthodox Church,faith-based_facilities,Marshall-Shadeland
St John The Baptist Byzantine Catholic,faith-based_facilities,South Side Flats
St James Baptist Church,faith-based_facilities,Homewood South
St James AME Church,faith-based_facilities,Larimer
St George Orthodox Cathedral,faith-based_facilities,Central Oakland
St Cyril Of Alexandria,faith-based_facilities,Brighton Heights
St Charles Lwanga,faith-based_facilities,Homewood South
St Bede Parish,faith-based_facilities,Point Breeze
CHATHAM COLLEGE CHAPEL,polling_places,Squirrel Hill North
St Paul AME Church,faith-based_facilities,Knoxville
St Patrick-St Stanislaus Kostka,faith-based_facilities,Strip District
St Pamphilus Parish,faith-based_facilities,Beechview
St Nicholas Greek Orthodox Church,faith-based_facilities,North Oakland
St Michael and All Angels Lutheran Church,faith-based_facilities,Spring Garden
St Mary Of The Mount Parish,faith-based_facilities,Mount Washington
St Mary Of Mercy Parish,faith-based_facilities,Central Business District
St Mark's Lutheran Church,faith-based_facilities,Brookline
St Maria Goretti,faith-based_facilities,Bloomfield
St Luke Baptist Church,faith-based_facilities,Middle Hill
CHARTIERS SCHOOL,polling_places,Windgap
St. Andrew's Episcopal Church,faith-based_facilities,Highland Park
St. Ambrose Church /of Holy Wisdom Parish,faith-based_facilities,Spring Hill-City View
St. Adalbert /of Prince of Peace Parish,faith-based_facilities,South Side Flats
St Regis Parish,faith-based_facilities,South Oakland
St Raphael Church,faith-based_facilities,Morningside
St Pius X Parish,faith-based_facilities,Brookline
